Swingweight,Head_Size,Length,Racket_Name,Stiffness,Stroke_Style,Swing_speed,Balance,Power_Level,Beam_Width
321.0,100 sq. in. , 27in ,Babolat Pure Drive,71.0, Medium-Full, Medium-Fast, 4 pts HL, Low-Medium, 23mm / 26mm / 23mm /
306.0,102 sq. in. , 27in ,Babolat Boost Aero,67.0, Medium-Full, Medium-Fast, 2 pts HH, Low-Medium, 23mm / 26mm / 23mm /
314.0,105 sq. in. , 27in ,Babolat Boost Drive,67.0, Medium, Medium, 3 pts HH, Medium, 23mm / 26mm / 23mm /
312.0,102 sq. in. , 27in ,Babolat Boost Strike,65.0, Medium-Full, Medium-Fast, 3 pts HL, Low-Medium, 23mm / 26mm / 23mm /
294.0, 100 sq. in. , 27in ,Babolat Drive Lite,67.0, Medium-Full, Medium-Fast, 2 pts HH, Low-Medium, 23.5mm / 25.5mm / 23mm /
318.0, 115 sq. in. , 27.6in ,Babolat Drive 115,69.0, Compact-Medium, Slow-Moderate, 3 pts HH, Medium-High, 25mm / 28mm / 24mm /
317.0, 98 sq. in. , 27in ,Babolat Pure Strike VS,65.0, Medium-Full, Medium-Fast, 3 pts HL, Low-Medium, 21mm / 21mm / 21mm /
323.0, 98 sq. in. , 27in ,Babolat Pure Strike VS Tour,65.0, Medium-Full, Medium-Fast, 7 pts HL, Low-Medium, 21mm / 21mm / 21mm /
294.0, 100 sq. in. , 27in ,Babolat Drive Lite,67.0, Medium-Full, Medium-Fast, 2 pts HH, Low-Medium, 23.5mm / 25.5mm / 23mm /
,,,Babolat Aero 112 Strung,,,,,,
,,,Babolat Pure Strike 98 16x19 (Project One7),,,,,,
,,,Babolat Pure Strike Team,,,,,,
325.0, 98 sq. in. , 27in ,Babolat Pure Strike 98 18x20,67.0, Full, Fast, 4 pts HL, Low, 21.3mm / 23.3mm / 21.3mm /
,,,Babolat Pure Strike 100,,,,,,
,,,Babolat Pure Aero Team,,,,,,
308.0,100 sq. in. , 27in ,Babolat Pure Aero Lite Pink,69.0, Medium, Medium, 0 pts EB, Low-Medium, 23mm / 26mm / 23mm /
,,,Babolat Pure Aero Lite,,,,,,
319.0, 98 sq. in. , 27in ,Babolat Pure Aero VS,67.0, Full, Fast, 4 pts HL, Low-Medium, 21mm / 21mm / 21mm /
327.0, 100 sq. in. , 27in ,Babolat Pure Aero,69.0, Full, Fast, 4 pts HL, Low-Medium, 23mm / 26mm / 23mm /
313.0, 110 in² , 27.5 in ,Babolat Pure Drive 110 2015,67.0, Medium, Medium, 1 pts HL, Medium, 24.5mm / 26.5mm / 23.5mm /
309.0, 107 in² , 27.2 in ,Babolat Pure Drive 107 2015,68.0, Medium-Full, Medium-Fast, 1 pts HL, Medium, 23mm / 25.5mm / 23.5mm /
,,,Babolat Pure Aero Plus,,,,,,
312.0, 100 in² , 27 in ,Babolat Pure Drive Team 2015,69.0, Medium-Full, Medium-Fast, 3 pts HL, Low-Medium, 23.5mm / 26mm / 23mm /
,,,Babolat Pure Aero Tour,,,,,,
328.0, 98 sq. in. , 27in ,Babolat Pure Aero VS Tour,68.0, Full, Fast, 7 pts HL, Low, 21mm / 21mm / 21mm /
,,,Babolat Pure Drive Lite 2015,,,,,,
,,,Babolat Pure Drive Tour 2015,,,,,,
331.0, 100 in² , 27.5 in ,Babolat Pure Drive Tour Plus 2015,71.0, Medium-Full, Medium-Fast, 7 pts HL, Low-Medium, 23.5mm / 26mm / 23mm /
317.0,100 in² , 27 in ,Babolat Pure Drive Wimbledon,72.0, Medium-Full, Medium-Fast, 4 pts HL, Low-Medium, 23.5mm / 26mm / 23mm /
,,,Babolat Pure Drive 2015,,,,,,
,,,Babolat Pure Drive Plus 2015,,,,,,
300.0, 100 sq. in. , 27in ,Babolat Pure Drive Lite,69.0, Medium-Full, Medium-Fast, 1 pts HL, Low-Medium, 23mm / 26mm / 23mm /
310.0, 107 sq. in. , 27.2in ,Babolat Pure Drive 107,69.0, Medium, Medium, 5 pts HL, Medium, 23mm / 26mm / 22.5mm /
305.0, 110 sq. in. , 27.6in ,Babolat Pure Drive 110,69.0, Compact-Medium, Slow-Moderate, 3 pts HL, Medium-High, 24mm / 26.5mm / 23.5mm /
316.0, 100 sq. in. , 27in ,Babolat Pure Drive Team,70.0, Medium-Full, Medium-Fast, 4 pts HL, Low-Medium, 23mm / 26mm / 23mm /
328.0, 100 sq. in. , 27.5in ,Babolat Pure Drive Tour Plus,71.0, Medium-Full, Medium-Fast, 8 pts HL, Low-Medium, 23mm / 26mm / 23mm /
325.0, 100 sq. in. , 27.5in ,Babolat Pure Drive Plus,70.0, Medium-Full, Medium-Fast, 6 pts HL, Low-Medium, 23mm / 26mm / 23mm /
324.0, 100 sq. in. , 27in ,Babolat Pure Drive Tour,71.0, Medium-Full, Medium-Fast, 6 pts HL, Low-Medium, 23mm / 26mm / 23mm /
