Swingweight,Head_Size,Length,Racket_Name,Stiffness,Stroke_Style,Swing_speed,Balance,Power_Level,Beam_Width
326.0, 93 sq. in. , 27in ,Head Graphene Touch Prestige Mid, 61, Full, Fast, 7 pts HL, Low, 20mm / 20mm / 20mm /
312.0, 100 sq. in. , 27in ,Head Graphene Touch Speed S, 66, Medium-Full, Medium-Fast, 4 pts HL, Low-Medium, 25mm / 25mm / 25mm /
320.0, 100 sq. in. , 27in ,Head Graphene Extreme MP, 69, Medium-Full, Medium-Fast, 4 pts HL, Low-Medium, 24mm / 26mm / 23mm /
313.0, 105 sq. in. , 27.2in ,Head MxG 5, 68, Medium, Medium, 0 pts EB,Medium, 24mm / 26mm / 22mm /
303.0,100 sq. in. , 27in ,Head Graphene Touch Extreme Lite, 61, Medium-Full, Medium-Fast, 2 pts HH, Low-Medium, 23mm / 26mm / 21mm /
314.0, 115 sq. in. , 27.3in ,Head Graphene Touch Speed PWR Racquet, 63, Compact-Medium, Slow-Moderate, 2 pts HH, Medium-High, 27.5mm / 28mm / 29mm /
318.0, 100 sq. in. , 27in ,Head Graphene Touch Speed MP, 64, Full, Fast, 4 pts HL, Low-Medium, 22mm / 22mm / 22mm /
317.0, 100 sq. in. , 27in ,Head Graphene Touch Speed Adaptive Racquet, 57, Medium-Full, Medium-Fast, 3 pts HL, Low-Medium, 22mm / 22mm / 22mm /
325.0,100 sq. in. , 27in ,Head Graphene Touch Extreme MP, 64, Medium-Full, Medium-Fast, 3 pts HL, Low-Medium, 23mm / 26mm / 23mm /
321.0, 100 sq. in. , 27in ,Head MxG 3, 72, Medium-Full, Medium-Fast, 3 pts HL, Low-Medium, 24mm / 26mm / 22mm /
322.0, 100 sq. in. , 27in ,Head Graphene Touch Speed Pro, 63, Full, Fast, 6 pts HL, Low, 22mm / 22mm / 22mm /
315.0, 98 sq. in. , 27in ,Head MicroGEL Radical Midplus, 62, Full, Fast, 2 pts HL, Low, 21mm Straight Beam
318.0,107 sq. in. , 27in ,Head MicroGEL Radical Oversize, 56, Full, Fast, 3 pts HL, Low, 21mm Straight Beam
322.0, 110 sq. in. , 27.4in,Head Graphene Touch Radical PWR, 66, Compact-Medium, Slow-Moderate, 2 pts HH, Medium-High, 26mm / 25mm / 23mm /
301.0, 102 sq. in. , 27in ,Head Graphene XT Radical S Pink, 60, Medium-Full, Medium-Fast, 4 pts HL, Low-Medium, 22mm / 25mm / 23mm /
304.0, 102 sq. in. , 27in ,Head Graphene XT Radical Lite, 63, Medium-Full, Medium-Fast, 2 pts HH, Low-Medium, 22mm / 25mm / 23mm /
,,,Head Titanium Ti.S5 Comfort Zone,,,,,,
,,,Head Liquidmetal 8,,,,,,
,,,Head Titanium Ti.S6 Strung,,,,,,
,,,Head Liquidmetal 4,,,,,,
295.0, 100 sq. in. , 27in ,Head Graphene Touch Instinct S Racquet, 64, Medium-Full, Medium-Fast, 4 pts HL, Low-Medium, 23mm / 26mm / 23mm /
305.0, 115 sq. in. , 27.7in ,Head Graphene Touch Instinct PWR Racquet, 69, Compact-Medium, Slow-Moderate, 9 pts HH, Medium-High, 28mm / 29mm / 29mm /
302.0, 107 sq. in. , 27.2in ,Head Graphene Touch Instinct Lite Racquet, 61, Medium, Medium, 1 pts HH, Medium, 23mm / 26mm / 23mm /
305.0, 100 sq. in. , 27in ,Head Graphene Touch Instinct Adaptive Racquet, 64, Medium-Full, Medium-Fast, 1 pts HL, Low-Medium, 23mm / 26mm / 23mm /
313.0, 100 sq. in. , 27in ,Head Graphene Touch Instinct MP Racquet, 69, Medium-Full, Medium-Fast, 4 pts HL, Low-Medium, 23mm / 26mm / 23mm /
332.0, 98 sq. in. , 27in ,Head Graphene XT Radical Pro, 67, Full, Fast, 6 pts HL, Low, 20mm / 23mm / 21mm /
320.0,98 sq. in. , 27in ,Head Graphene XT Radical MP A, 65, Full, Fast, 6 pts HL, Low-Medium, 20.5mm / 23.5mm / 21.5mm /
301.0, 102 sq. in. , 27in ,Head Graphene XT Radical S, 60, Medium-Full, Medium-Fast, 4 pts HL, Low-Medium, 22mm / 25mm / 23mm /
304.0, 102 sq. in. , 27in ,Head Graphene Touch Radical S, 61, Medium-Full, Medium-Fast, 4 pts HL, Low-Medium, 22mm / 25mm / 23mm /
323.0, 98 sq. in. , 27in ,Head Graphene Touch Radical MP, 65, Medium-Full, Medium-Fast, 4 pts HL, Low-Medium, 20mm / 23mm / 21mm /
,,,Head Graphene XT Prestige Rev Pro,,,,,,
322.0, 98 sq. in. , 27in ,Head Graphene XT Radical MP Ltd., 63, Medium-Full, Medium-Fast, 6 pts HL, Low-Medium, 20mm / 23mm / 21mm /
330.0, 98 sq. in. , 27in ,Head Graphene Touch Radical Pro, 66, Medium-Full, Medium-Fast, 6 pts HL, Low-Medium, 20mm / 23mm / 21mm /
,,,Head Graphene XT Prestige S,,,,,,
,,,Head Graphene XT Prestige Pro,,,,,,
,,,Head Graphene XT Prestige Midplus,,,,,,
322.0, 95 sq. in. , 27in ,Head Graphene Touch Prestige Pro, 63, Medium-Full, Medium-Fast, 6 pts HL, Low-Medium, 22mm / 22mm / 22mm /
325.0, 99 sq. in. , 27in ,Head Graphene Touch Prestige Tour, 65, Full, Fast, 4 pts HL, Low, 21.5mm / 21.5mm / 21.5mm /
321.0, 95 sq. in. , 27in ,Head Graphene Touch Prestige Midplus, 65, Full, Fast, 6 pts HL, Low, 21mm / 21mm / 21mm /
