Swingweight,Head_Size,Length,Racket_Name,Stiffness,Stroke_Style,Swing_speed,Balance,Power_Level,Beam_Width
320,97 sq. in. , 27in ,Wilson Pro Staff 97 Countervail Black,65, Full, Fast, 7 pts HL, Low, 21.5mm / 21.5mm / 21.5mm /
,,,Wilson K Factor KZero,,,,,,
,,,Wilson Hyper Hammer 5.3 Stretch OS,,,,,,
329, 113 sq. in. , 27.5in ,Wilson Triad Three BLX,? N/A (Very Low), Compact-Medium, Slow-Moderate, 6 pts HH, Medium-High, 26mm / 30mm / 26mm /
321, 103 sq. in. , 27.25in ,Wilson Triad Five BLX,? N/A (very Low), Medium, Medium, 6 pts HH, Medium, 26mm / 26mm / 26mm /
335,115 sq. inches, 27.9in,Wilson n1 115,71, Compact-Medium, Slow-Moderate, 10 points HH,? Medium-High, 27mm / 29mm / 28mm /
319, 103 sq. in. , 27.25in ,Wilson Triad XP5,? N/A (Very Low), Medium, Medium, 4 pts HH, Medium, 25.3mm / 29mm / 25.5mm /
315, 113 sq. in. , 27.5in ,Wilson Triad XP3,? N/A (Very Low), Compact-Medium, Slow-Moderate, 6 pts HH, Medium-High, 24.5mm / 29mm / 25.5mm /
325,105 sq. in. , 27.5in ,Wilson Steam 105S Yellow,69, Medium-Full, Medium-Fast,? 5 pts HL, Low-Medium, 24.5mm / 25.5mm / 25mm /
335, 95 sq. in. , 27.25in ,Wilson Burn 95,68, Full, Fast, 5 pts HL, Low-Medium, 22mm / 22mm / 22mm /
327, 100 sq. in. , 27in ,Wilson Burn 100S,73, Medium-Full, Medium-Fast, 1 pts HL, Low-Medium, 23.5mm / 25mm / 24.5mm /
294, 100 sq. in. , 27in ,Wilson Burn 100 Team,63, Medium-Full, Medium-Fast, 1 pts HL, Low-Medium, 22mm / 22mm / 22mm /
320, 110 sq. in. , 27.5in ,Wilson XP1,73, Compact-Medium, Slow-Medium, 2 pts HH, Medium-High, 27mm / 30mm / 27mm /
325, 100 sq. in. , 27in ,Wilson Burn 100S Countervail,69, Medium-Full, Medium-Fast, 4 pts HL, Low-Medium, 23.5mm / 25mm / 23.5mm /
306, 100 sq. in. , 27in ,Wilson Burn 100 LS,69, Medium-Full, Medium-Fast, 3 pts HL, Low-Medium, 23.5mm / 25mm / 23.5mm /
319, 100 sq. in. , 27in ,Wilson Burn 100 Countervail,69, Medium-Full, Medium-Fast, 4 pts HL, Low-Medium, 23.5mm / 25mm / 23.5mm /
295, 100 sq. in. , 27in ,Wilson Burn 100 ULS,67, Medium-Full, Medium-Fast, 1 pts HL, Low-Medium, 23.5mm / 25mm / 23.5mm /
325, 98 sq. in. , 27in ,Wilson Blade 98S Spin (18x16),63, Medium-Full, Medium-Fast, 1 pts HL, Low-Medium, 21.5mm / 21.5mm / 21.5mm /
327, 98 sq. in. , 27in ,Wilson Blade 98 (18x20),64, Medium-Full, Medium-Fast, 3 pts HL, Low, 21.5mm / 21.5mm / 21.5mm /
296, 99 sq. in. , 27in ,Wilson Blade Team 99 Lite,69, Medium-Full, Medium-Fast, 3 pts HL, Low-Medium, 22mm / 24mm / 22mm /
328, 98 sq. in. , 27in ,Wilson Blade 98 (18x20) Countervail,65, Full, Fast, 3 pts HL, Low-Medium, 21mm / 21mm / 21mm /
314, 98 sq. in. , 27in ,Wilson Blade 98L (16x19),67, Medium-Full, Medium-Fast, 1 pts HL, Low-Medium, 21mm / 21mm / 21mm /
322, 99 sq. in. , 27in ,Wilson Blade Team 99,71, Medium-Full, Medium-Fast, 3 pts HL, Low-Medium, 22mm / 24mm / 22mm /
329, 98 sq. in. , 27in ,Wilson Blade 98S (18x16) Countervail,65, Full, Fast, 1 pts HL, Low-Medium, 21mm / 21mm / 21mm /
341, 95 sq. in. , 27.25in ,Wilson Burn 95 Countervail,68, Full, Fast, 3 pts HL, Low, 22mm / 22mm / 22mm /
318, 104 sq. in. , 27.5in ,Wilson Blade 104,66, Medium-Full, Medium-Fast, 5 pts HL, Low-Medium, 22mm / 22mm / 22mm /
341, 104 sq. in. , 28in ,Wilson Blade SW104 Autograph Countervail,68, Medium-Full, Medium-Fast, 5 pts HL, Low-Medium, 22mm / 22mm / 22mm /
325, 100 sq. in. , 27in ,Wilson Burn 100S Countervail Black,69, Medium-Full, Medium-Fast, 4 pts HL, Low-Medium, 23.5mm / 25mm / 23.5mm /
326, 98 sq. in. , 27in ,Wilson Blade 98 (16x19) Countervail,66, Full, Fast, 3 pts HL, Low-Medium, 21mm / 21mm / 21mm /
316, 100 sq. in. , 27in ,Wilson Ultra 100,69, Full, Fast, 4 pts HL, Low-Medium, 23mm / 26mm / 23mm /
305, 100 sq. in. , 27in ,Wilson Ultra 100L,68, Medium-Full, Medium-Fast, 3 pts HL, Low-Medium, 23mm / 26.5mm / 22.5mm /
286, 100 sq. in. , 27in ,Wilson Ultra 100UL,68, Medium-Full, Medium-Fast, 1 pts HL, Medium-High, 23mm / 26.5mm / 22.5mm /
312, 110 sq. in. , 27.25in ,Wilson Ultra 110,69, Medium, Medium, 0 pts EB, Medium, 27.5mm / 28mm / 26mm /
326, 98 sq. in. , 27in ,Wilson Blade 98 (16x19) Countervail Black,66, Full, Fast, 3 pts HL, Low-Medium, 21mm / 21mm / 21mm /
315, 105 sq. in. , 27.25in ,Wilson Ultra 105S Countervail,71, Medium, Medium, 4 pts HL, Medium, 26mm / 27mm / 26mm /
320, 100 sq. in. , 27in ,Wilson Ultra 100 Countervail,74, Medium-Full, Medium-Fast, 4 pts HL, Low-Medium, 23mm / 26.5mm / 22.5mm /
319, 97 sq. in. , 27in ,Wilson Ultra Tour,63, Full, Fast, 6 pts HL, Low, 21mm / 21mm / 21mm /
320, 100 sq. in. , 27in ,Wilson Ultra 100 Countervail Black,74, Medium-Full, Medium-Fast, 4 pts HL, Low-Medium, 23mm / 26.5mm / 22.5mm /
324, 97 sq. in. , 27in ,Wilson Pro Staff 97,66, Full, Fast, 7 pts HL, Low, 21.5mm / 21.5mm / 21.5mm /
329, 85 sq. in. , 27in ,Wilson Pro Staff RF 85 Ltd. Edition,66,Full,Fast, 9 pts HL, Low, 17mm / 17mm / 17mm /
314, 97 sq. in. , 27in ,Wilson Pro Staff 97LS Black,67, Medium-Full, Medium-Fast, 3 pts HL, Low-Medium, 23mm / 23mm / 23mm /
320, 100 sq. in. , 27in ,Wilson Ultra 100 Countervail Reverse,74, Medium-Full, Medium-Fast, 4 pts HL, Low-Medium, 23mm / 26.5mm / 22.5mm /
335, 97 sq. in. , 27in ,Wilson Pro Staff RF97 Autograph,68, Full, Fast, 9 pts HL, Low, 21.5mm / 21.5mm / 21.5mm /
312, 97 sq. in. , 27in ,Wilson Pro Staff 97L Countervail Black,69, Medium-Full, Medium-Fast, 3 pts HL, Low-Medium, 23mm / 23mm / 23mm /
