Swingweight,Head_Size,Length,Racket_Name,Stiffness,Stroke_Style,Swing_speed,Balance,Power_Level,Beam_Width
316.0, 98 sq. in. , 27in ,Yonex EZONE 98 (305g) Blue ,63.0, Medium-Full, Medium-Fast, 6 pts HL, Low-Medium, 23mm / 24mm / 19mm /
295.0, 100 sq. in. , 26.5in ,Yonex VCORE SV 100S,69.0, Medium-Full, Medium-Fast, 1 pts HH, Low-Medium, 25mm / 25mm / 22mm /
312.0, 115 sq. in. , 27.25in ,Yonex Astrel 115,66.0, Compact-Medium, Slow-Moderate, 4 pts HH, Medium-High, 26mm / 26mm / 25mm /
305.0, 105 sq. in. , 27in ,Yonex Astrel 105,68.0, Medium, Medium, 1 pts HL, Medium, 26mm / 26mm / 25mm /
315.0, 100 sq. in. , 27in ,Yonex VCORE Duel G 100 Lite,65.0, Medium-Full, Medium-Fast, 0 pts EB, Low-Medium, 20mm / 21.5mm / 21.5mm /
314.0, 100 sq. in. , 27in ,Yonex VCORE Duel G 100,65.0, Full, Fast, 4 pts HL, Low-Medium, 20mm / 21.5mm / 21.5mm /
315.0, 97 sq. in. , 27in ,Yonex VCORE Duel G 97 (310g),64.0, Full, Fast, 7 pts HL, Low, 20.5mm / 20.5mm / 20.5mm /
334.0, 97 sq. in. , 27in ,Yonex VCORE Duel G 97 (330g) (Wawrinka),66.0, Full, Fast, 7 pts HL, Low, 20.5mm / 20.5mm / 20.5mm /
314.0, 105 sq. in. , 27in ,Yonex VCORE SV 105,67.0, Medium, Medium, 2 pts HH, Medium, 26mm / 26mm / 23mm /
309.0, 100 sq. in. , 27in ,Yonex VCORE SV 100 Lite,69.0, Full, Fast,1HL, Low-Med, 25mm / 25mm / 22mm /
316.0, 100 sq. in. , 27in ,Yonex VCORE SV 100,69.0, Full, Fast,4HL, Low-Medium, 25mm / 25mm / 22mm /
320.0, 98 sq. in. , 27in ,Yonex VCORE SV 98,67.0, Full, Fast,6HL, Low-Medium, 22mm / 22mm / 21mm /
340.0, 98 sq. in. , 27.5in ,Yonex VCORE SV 98+,68.0, Medium-Full, Medium-Fast, 5 pts HL, Low-Medium, 22mm / 22mm / 21mm /
312.0, 98 sq. in. , 27in ,Yonex VCORE SV 98 Lite,65.0, Med-Full, Med-Fast,3HL, Low-Med, 22mm / 22mm / 21mm /
304.0, 102 sq. in. , 27in ,Yonex EZONE DR Feel,67.0, Medium-Full, Medium-Fast, 4 pts HH, Low-Medium, 24mm / 26.5mm / 23mm /
336.0, 100 sq. in. , 27.5in ,Yonex EZONE DR 100+ Blue,70.0, Medium-Full, Medium-Fast, 4 pts HL, Low-Medium, 23mm / 26mm / 22mm /
